,age,c_weight,course,date,field,gender,head_count,horse_name,j_weight,jackie,odds,popu,race,race_name,rank,trainerA,trainerB,weight,year
20200501010100,3,+2,ダ1300m,2/1(土),東京,牡,15頭,クリアミッション,56.0,大庭,9.4,5,1R,３歳未勝利,1,美浦,土田,506,2020.0
20200501010101,3,+2,ダ1300m,2/1(土),東京,牡,15頭,エストラード,56.0,江田照,8.3,4,1R,３歳未勝利,2,美浦,武市,478,2020.0
20200501010102,3,-4,ダ1300m,2/1(土),東京,牝,15頭,マッチャパフェ,54.0,武藤,10.5,6,1R,３歳未勝利,3,美浦,林,446,2020.0
20200501010103,3,+2,ダ1300m,2/1(土),東京,牡,15頭,コルニリア,56.0,嘉藤,19.3,9,1R,３歳未勝利,4,美浦,大和田,440,2020.0
20200501010104,3,0,ダ1300m,2/1(土),東京,牝,15頭,ローズオブシャロン,54.0,石橋脩,7.3,3,1R,３歳未勝利,5,美浦,大竹,458,2020.0
20200501010105,3,+2,ダ1300m,2/1(土),東京,牡,15頭,バーンパッション,56.0,大野,20.2,10,1R,３歳未勝利,6,美浦,中川,468,2020.0
20200501010106,3,+8,ダ1300m,2/1(土),東京,牡,15頭,ユタカサン,56.0,吉田豊,17.4,8,1R,３歳未勝利,7,美浦,竹内,486,2020.0
20200501010107,3,+12,ダ1300m,2/1(土),東京,牡,15頭,サイモンバトラー,56.0,田辺,15.0,7,1R,３歳未勝利,8,美浦,矢野,462,2020.0
20200501010108,3,+4,ダ1300m,2/1(土),東京,牝,15頭,コパノラクラク,54.0,宮崎,97.2,12,1R,３歳未勝利,9,美浦,和田勇,442,2020.0
20200501010109,3,-2,ダ1300m,2/1(土),東京,牝,15頭,コーラルティアラ,54.0,横山典,3.4,1,1R,３歳未勝利,10,美浦,和田勇,460,2020.0
20200501010110,3,+2,ダ1300m,2/1(土),東京,牡,15頭,ストームファルコン,56.0,Ｍデム,4.4,2,1R,３歳未勝利,11,美浦,水野,472,2020.0
20200501010111,3,-18,ダ1300m,2/1(土),東京,牝,15頭,マサノゴールデン,54.0,北村宏,31.4,11,1R,３歳未勝利,12,美浦,木村,476,2020.0
20200501010112,3,+8,ダ1300m,2/1(土),東京,牝,15頭,マインレッド,54.0,菅原隆,451.2,15,1R,３歳未勝利,13,美浦,小野,436,2020.0
20200501010113,3,+2,ダ1300m,2/1(土),東京,牝,15頭,アイアンカレン,54.0,丹内,271.9,13,1R,３歳未勝利,14,美浦,青木,408,2020.0
20200501010114,3,-6,ダ1300m,2/1(土),東京,牝,15頭,サンテンプル,53.0,☆野中,389.3,14,1R,３歳未勝利,15,美浦,伊藤伸,418,2020.0
20200501020100,3,+4,ダ1400m,2/2(日),東京,牡,15頭,ダイチヴィット,56.0,江田照,20.7,6,1R,３歳未勝利,1,美浦,竹内,456,2020.0
20200501020101,3,-4,ダ1400m,2/2(日),東京,牡,15頭,トーセンリヤン,56.0,横山和,11.1,5,1R,３歳未勝利,2,美浦,池上,442,2020.0
20200501020102,3,-6,ダ1400m,2/2(日),東京,セ,15頭,グローサーベア,56.0,津村,5.9,2,1R,３歳未勝利,3,美浦,矢野,466,2020.0
20200501020103,3,-2,ダ1400m,2/2(日),東京,牡,15頭,クァンタムリープ,54.0,△木幡育,21.3,7,1R,３歳未勝利,4,美浦,鹿戸,474,2020.0
20200501020104,3,-10,ダ1400m,2/2(日),東京,牡,15頭,ドロス,56.0,ルメー,1.9,1,1R,３歳未勝利,5,美浦,新開,490,2020.0
20200501020105,3,-2,ダ1400m,2/2(日),東京,牝,15頭,チェリーガイア,53.0,☆野中,73.2,9,1R,３歳未勝利,6,美浦,小西,462,2020.0
20200501020106,3,0,ダ1400m,2/2(日),東京,牡,15頭,トーセンレビュー,56.0,木幡巧,115.2,10,1R,３歳未勝利,7,美浦,松永康,514,2020.0
20200501020107,3,+12,ダ1400m,2/2(日),東京,牡,15頭,マロンジェム,56.0,内田博,25.3,8,1R,３歳未勝利,8,美浦,稲垣,488,2020.0
20200501020108,3,+8,ダ1400m,2/2(日),東京,牡,15頭,フィーバス,56.0,ミナリ,7.2,4,1R,３歳未勝利,9,美浦,田中剛,476,2020.0
20200501020109,3,+4,ダ1400m,2/2(日),東京,牝,15頭,パレット,54.0,北村宏,205.6,13,1R,３歳未勝利,10,美浦,黒岩,448,2020.0
20200501020110,3,+8,ダ1400m,2/2(日),東京,牡,15頭,キタノタカワシ,56.0,吉田豊,180.1,12,1R,３歳未勝利,11,美浦,土田,458,2020.0
20200501020111,3,+6,ダ1400m,2/2(日),東京,牝,15頭,エバーバリュー,54.0,松岡,249.9,15,1R,３歳未勝利,12,美浦,小島,386,2020.0
20200501020112,3,-14,ダ1400m,2/2(日),東京,牡,15頭,キンバリープロセス,56.0,石橋脩,6.0,3,1R,３歳未勝利,13,美浦,手塚,490,2020.0
20200501020113,3,0,ダ1400m,2/2(日),東京,牝,15頭,スタニングビスタ,54.0,武藤,240.8,14,1R,３歳未勝利,14,美浦,武藤,448,2020.0
20200501020114,3,+12,ダ1400m,2/2(日),東京,牡,15頭,ネイチャーローズ,56.0,井上,155.3,11,1R,３歳未勝利,15,美浦,根本,468,2020.0
20200501030100,3,+2,ダ1300m,2/8(土),東京,牝,16頭,トリプルシックス,54.0,横山和,8.3,3,1R,３歳未勝利,1,美浦,古賀史,468,2020.0
20200501030101,3,-6,ダ1300m,2/8(土),東京,牡,16頭,ヨシオドライヴ,56.0,大庭,16.0,7,1R,３歳未勝利,2,美浦,清水英,490,2020.0
20200501030102,3,-2,ダ1300m,2/8(土),東京,牡,16頭,ダイシンウィット,56.0,津村,5.7,2,1R,３歳未勝利,3,美浦,小笠,498,2020.0
20200501030103,3,-4,ダ1300m,2/8(土),東京,牡,16頭,スズカキングボス,56.0,内田博,2.0,1,1R,３歳未勝利,4,美浦,田中剛,462,2020.0
20200501030104,3,0,ダ1300m,2/8(土),東京,牡,16頭,ニーケススマイル,56.0,松岡,9.8,4,1R,３歳未勝利,5,美浦,蛯名,458,2020.0
20200501030105,3,+4,ダ1300m,2/8(土),東京,牝,16頭,ヤサカパフィー,54.0,武藤,12.0,6,1R,３歳未勝利,6,美浦,水野,472,2020.0
20200501030106,3,+4,ダ1300m,2/8(土),東京,牡,16頭,ゴラッソゴール,56.0,田辺,28.4,8,1R,３歳未勝利,7,美浦,武市,470,2020.0
20200501030107,3,-2,ダ1300m,2/8(土),東京,牡,16頭,スイスライツ,56.0,江田照,10.3,5,1R,３歳未勝利,8,美浦,竹内,462,2020.0
20200501030108,3,-8,ダ1300m,2/8(土),東京,牝,16頭,ローズブランシェ,54.0,武士沢,84.5,11,1R,３歳未勝利,9,美浦,小桧山,436,2020.0
20200501030109,3,+4,ダ1300m,2/8(土),東京,牡,16頭,ビッグセント,56.0,北村宏,226.8,13,1R,３歳未勝利,10,美浦,田中清,452,2020.0
20200501030110,3,+6,ダ1300m,2/8(土),東京,牝,16頭,シゲルナガレボシ,53.0,☆菊沢,118.3,12,1R,３歳未勝利,11,美浦,浅野,450,2020.0
20200501030111,3,+4,ダ1300m,2/8(土),東京,牡,16頭,ダンブルドア,56.0,嘉藤,46.5,10,1R,３歳未勝利,12,美浦,田中清,534,2020.0
20200501030112,3,+4,ダ1300m,2/8(土),東京,牡,16頭,レイニーウェイ,56.0,大野,33.4,9,1R,３歳未勝利,13,美浦,田島,456,2020.0
20200501030113,3,+3,ダ1300m,2/8(土),東京,牡,16頭,ナックライオン,54.0,△木幡育,321.1,14,1R,３歳未勝利,14,美浦,杉浦,524,2020.0
20200501030114,3,-4,ダ1300m,2/8(土),東京,牝,16頭,クンクンクン,54.0,岩部,381.3,15,1R,３歳未勝利,14,美浦,加藤和,438,2020.0
20200501030115,3,+14,ダ1300m,2/8(土),東京,牡,16頭,ゴーイングヒーロー,56.0,宮崎,472.7,16,1R,３歳未勝利,16,美浦,松山,422,2020.0
20200501040100,3,-4,ダ1400m,2/9(日),東京,牝,16頭,ペルシャンジュエル,54.0,Ｍデム,3.2,2,1R,３歳未勝利,1,美浦,金成,436,2020.0
20200501040101,3,-6,ダ1400m,2/9(日),東京,牝,16頭,セルフィー,54.0,ルメー,2.1,1,1R,３歳未勝利,2,美浦,藤沢和,454,2020.0
20200501040102,3,-6,ダ1400m,2/9(日),東京,牝,16頭,トリッチトラッチ,54.0,田辺,5.8,3,1R,３歳未勝利,3,美浦,伊藤圭,420,2020.0
20200501040103,3,-6,ダ1400m,2/9(日),東京,牝,16頭,ユールファーナ,54.0,丸山,18.0,5,1R,３歳未勝利,4,美浦,和田勇,416,2020.0
20200501040104,3,0,ダ1400m,2/9(日),東京,牝,16頭,クロキシ,54.0,木幡巧,359.8,15,1R,３歳未勝利,5,美浦,和田雄,406,2020.0
20200501040105,3,+6,ダ1400m,2/9(日),東京,牝,16頭,モノポリーアイズ,54.0,横山典,12.5,4,1R,３歳未勝利,6,美浦,武井,440,2020.0
20200501040106,3,+6,ダ1400m,2/9(日),東京,牝,16頭,パーティネント,54.0,津村,22.2,6,1R,３歳未勝利,7,美浦,岩戸,470,2020.0
20200501040107,3,+10,ダ1400m,2/9(日),東京,牝,16頭,ジニアテソーロ,54.0,武藤,91.2,12,1R,３歳未勝利,8,美浦,奥平,462,2020.0
20200501040108,3,-2,ダ1400m,2/9(日),東京,牝,16頭,カンタベリーアロマ,54.0,武士沢,178.6,14,1R,３歳未勝利,9,美浦,星野,426,2020.0
20200501040109,3,-6,ダ1400m,2/9(日),東京,牝,16頭,タイセイプルミエ,54.0,Ｆ．ミ,38.6,8,1R,３歳未勝利,10,美浦,青木,464,2020.0
20200501040110,3,0,ダ1400m,2/9(日),東京,牝,16頭,ラッキービープラン,54.0,伊藤,56.9,9,1R,３歳未勝利,11,美浦,宗像,474,2020.0
20200501040111,3,-10,ダ1400m,2/9(日),東京,牝,16頭,ヴィエリチカ,54.0,石川,69.9,10,1R,３歳未勝利,12,美浦,相沢,442,2020.0
20200501040112,3,-6,ダ1400m,2/9(日),東京,牝,16頭,カスミ,53.0,☆菊沢,70.7,11,1R,３歳未勝利,13,美浦,松山,466,2020.0
20200501040113,3,+2,ダ1400m,2/9(日),東京,牝,16頭,ハヤブサピアーノ,54.0,大野,27.5,7,1R,３歳未勝利,14,美浦,高柳瑞,460,2020.0
20200501040114,3,-6,ダ1400m,2/9(日),東京,牝,16頭,ララスカート,54.0,内田博,683.7,16,1R,３歳未勝利,15,美浦,田中剛,414,2020.0
20200501040115,3,+6,ダ1400m,2/9(日),東京,牝,16頭,ナックローズ,52.0,△木幡育,170.0,13,1R,３歳未勝利,16,美浦,杉浦,416,2020.0
20200501050100,3,+4,ダ1400m,2/15(土),東京,牡,16頭,トミケンレゲンダ,56.0,石橋脩,3.2,1,1R,３歳未勝利,1,美浦,大和田,468,2020.0
20200501050101,3,+2,ダ1400m,2/15(土),東京,セ,16頭,クロッチ,56.0,大野,7.3,5,1R,３歳未勝利,2,美浦,杉浦,460,2020.0
20200501050102,3,+12,ダ1400m,2/15(土),東京,牡,16頭,トーセンリズム,55.0,☆菊沢,20.9,7,1R,３歳未勝利,3,美浦,深山,476,2020.0
20200501050103,3,-4,ダ1400m,2/15(土),東京,牡,16頭,チートコード,56.0,吉田豊,4.3,2,1R,３歳未勝利,4,美浦,尾関,510,2020.0
20200501050104,3,+8,ダ1400m,2/15(土),東京,牡,16頭,トーセンマイベスト,55.0,☆野中,23.5,8,1R,３歳未勝利,5,美浦,上原,480,2020.0
20200501050105,3,+2,ダ1400m,2/15(土),東京,牡,16頭,バルドダンサー,56.0,Ｍデム,5.2,3,1R,３歳未勝利,6,美浦,和田雄,462,2020.0
20200501050106,3,-4,ダ1400m,2/15(土),東京,牡,16頭,ネオトゥルー,56.0,津村,24.4,9,1R,３歳未勝利,7,美浦,鈴木伸,480,2020.0
20200501050107,3,+2,ダ1400m,2/15(土),東京,牡,16頭,ナックジーニアス,56.0,田中勝,19.8,6,1R,３歳未勝利,8,美浦,宗像,522,2020.0
20200501050108,3,-8,ダ1400m,2/15(土),東京,牡,16頭,トーセンリヤン,56.0,横山和,7.1,4,1R,３歳未勝利,9,美浦,池上,434,2020.0
20200501050109,3,+10,ダ1400m,2/15(土),東京,牡,16頭,マクラーレンベール,56.0,北村宏,66.4,11,1R,３歳未勝利,10,美浦,勢司,512,2020.0
20200501050110,3,0,ダ1400m,2/15(土),東京,牡,16頭,キタノフウライジン,56.0,木幡巧,150.1,13,1R,３歳未勝利,11,美浦,松永康,480,2020.0
20200501050111,3,-6,ダ1400m,2/15(土),東京,牡,16頭,ヘニービュット,56.0,ミナリ,66.5,12,1R,３歳未勝利,12,美浦,池上,490,2020.0
20200501050112,3,0,ダ1400m,2/15(土),東京,牡,16頭,ゼクスバンデ,56.0,嘉藤,176.6,15,1R,３歳未勝利,13,美浦,高市,428,2020.0
20200501050113,3,+4,ダ1400m,2/15(土),東京,牡,16頭,タイムカプセル,56.0,菅原隆,469.5,16,1R,３歳未勝利,14,美浦,土田,442,2020.0
20200501050114,3,0,ダ1400m,2/15(土),東京,牡,16頭,タイダルフォース,56.0,フォー,58.5,10,1R,３歳未勝利,15,美浦,中舘,452,2020.0
